,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT v2 Loose WP,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,14.287466646478146,1.2467448191612902,1.0826201685136143,1.0170515173513257,1.0170515173513257,1.0170515173513257,0.9644782990287659,0.10496245668840465,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,443.65770975584616,36.18641855413497,30.606685565726618,28.81770247691973,28.81770247691973,28.81770247691973,27.73450134276837,2.332039722389757,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,7.5990383828599635,0.5723594174010097,0.4825764141031284,0.4604533566451365,0.4604533566451365,0.4604533566451365,0.44484366164177663,0.07156038237024528,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,238.68778001545107,19.20595098745653,16.193823894681746,15.286138538916994,15.286138538916994,15.286138538916994,14.977307372512989,2.046305746149895,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,6.142378087894154,0.5482008691291519,0.4714164084473149,0.45172433706681653,0.45172433706681653,0.45172433706681653,0.42909186531952404,0.09940987151845132,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,200.84570710318246,17.499995846363596,15.419564867849443,14.610412467261657,14.610412467261657,14.610412467261657,14.120705091085611,2.23152237746539,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,1302.773429218097,123.24628608568146,103.80458209290563,100.85423130094526,100.85423130094526,100.85423130094526,96.92024356267356,24.110747550011336,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,24707.114125418568,2184.5977486441543,1899.4099309930966,1816.958888342399,1816.958888342399,1816.958888342399,1763.8306027150913,338.37297951680745,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,3.3521160259365645,0.3435990934028691,0.2814736708941239,0.26911245468591083,0.26911245468591083,0.26911245468591083,0.2602399387290486,0.07067469382141696,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,108.8250664067727,10.209122180274019,8.740353904629506,8.445450597355318,8.445450597355318,8.445450597355318,8.197401769855595,1.9383347791730425,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,1.3674891993564606,0.1474531940996997,0.12574878694369176,0.12066263338031533,0.12066263338031533,0.12066263338031533,0.11538526379764552,0.03266662738768862,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,43.75727543932692,4.3352747241577445,3.7015981622764897,3.588904418918596,3.588904418918596,3.588904418918596,3.504454000956064,0.8566666382096503,50.0,0.1,100.0
