,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Lxy <= 0.5,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.007414270155088269,0.0006469798413140683,0.0005618097737911945,0.0005277838890454348,0.0005277838890454348,0.0005277838890454348,0.0005005017925611027,0.000149827669408137,3.4074834528326957e-06,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.007306084347248066,0.0005959121646433841,0.0005040260124318779,0.0004745653244843689,0.0004745653244843689,0.0004745653244843689,0.0004567273411086268,0.00018036497710703298,9.603437186444852e-06,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.00797709862657122,0.000600834907315777,0.0005065851040890407,0.0004833614009871116,0.0004833614009871116,0.0004833614009871116,0.0004669751070511105,0.00013795293033898583,4.102937358290829e-06,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.008038948093792015,0.0006468518961049534,0.0005454041665682605,0.0005148335380257535,0.0005148335380257535,0.0005148335380257535,0.0005044321772342362,0.00016701636941677834,5.850452096703172e-06,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.010335342307593722,0.0009224185738316615,0.0007932188284407307,0.0007600843818875071,0.0007600843818875071,0.0007600843818875071,0.0007220023329761535,0.00020531446949269684,2.9817884297501906e-05,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.01064869843766006,0.0009278374983264792,0.0008175345078862508,0.0007746338154679585,0.0007746338154679585,0.0007746338154679585,0.0007486698740583597,0.00023789482096694506,1.0411267551870821e-05,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.01358496758660357,0.0012851788070686538,0.001082445996706749,0.0010516805397370382,0.0010516805397370382,0.0010516805397370382,0.001010657983771499,0.00023838603776337182,3.333761219404147e-05,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.013535937524539444,0.00119684470196682,0.0010406028817813934,0.0009954315940102817,0.0009954315940102817,0.0009954315940102817,0.0009663249508229548,0.0002841693655964852,1.4106919396659331e-05,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.01757580834755236,0.001801558110553257,0.0014758222138611524,0.001411009908637466,0.001411009908637466,0.001411009908637466,0.0013644895499112667,0.0003190810141762413,4.653762954361163e-05,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.017664331272528238,0.0016571303115037912,0.0014187219168184462,0.0013708536279668326,0.0013708536279668326,0.0013708536279668326,0.0013305906921801504,0.0003626154270358712,3.263209188008195e-05,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.022439338812072256,0.0024195819483492165,0.0020634310214402325,0.0019799715519888163,0.0019799715519888163,0.0019799715519888163,0.0018933743897166894,0.0004845448004095742,7.692503326102496e-05,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.022522272782321738,0.0022314058392225913,0.0019052466750798765,0.0018472421671829726,0.0018472421671829726,0.0018472421671829726,0.0018037747590585675,0.0004638969640955866,5.9447429229414336e-05,50.0,0.1,100.0
